Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
1.2500000000000002,2,-2.763158772722818e-05
1.2500000000000002,3,-2.7631584089249372e-05
1.2500000000000002,4,-2.7631584089249372e-05
1.2500000000000002,5,-2.7631584089249372e-05
1.2500000000000002,6,-2.7631584089249372e-05
1.2500000000000002,7,-2.7631584089249372e-05
1.2500000000000002,8,-2.7631584089249372e-05
1.2500000000000002,9,-2.7631584089249372e-05
1.2500000000000002,1,-2.763158227025997e-05
1.2500000000000002,2,-2.7631584089249372e-05
1.2500000000000002,3,-2.7631585908238776e-05
1.2500000000000002,4,-2.763158772722818e-05
1.2500000000000002,5,-2.7631589546217583e-05
1.2500000000000002,6,-1.4473681403615046e-05
1.2500000000000002,7,-2.7631580451270565e-05
1.2500000000000002,8,-2.7631580451270565e-05
1.2500000000000002,9,-2.7631580451270565e-05
1.2500000000000002,1,-4.210529004922137e-05
1.2500000000000002,2,-5.526318636839278e-05
1.2500000000000002,3,-5.526319000637159e-05
1.2500000000000002,4,-5.5263193644350395e-05
1.2500000000000002,5,-5.526320092030801e-05
1.2500000000000002,6,-5.526320819626562e-05
1.2500000000000002,7,-5.526321547222324e-05
1.2500000000000002,8,-5.526322274818085e-05
1.2500000000000002,9,-4.210530096315779e-05
1.3000000000000003,1,0.0
1.3000000000000003,2,0.0
1.3000000000000003,3,0.0
1.3000000000000003,4,0.0
1.3000000000000003,5,0.0
1.3000000000000003,6,0.0
1.3000000000000003,7,0.0
1.3000000000000003,8,0.0
1.3000000000000003,9,0.0
1.3000000000000003,1,0.0
1.3000000000000003,2,0.0
1.3000000000000003,3,0.0
1.3000000000000003,4,0.0
1.3000000000000003,5,0.0
1.3000000000000003,6,0.0
1.3000000000000003,7,0.0
1.3000000000000003,8,0.0
1.3000000000000003,9,0.0
1.3000000000000003,1,-2.7631591365206987e-05
1.3000000000000003,2,-2.7631595003185794e-05
1.3000000000000003,3,-2.7631595003185794e-05
1.3000000000000003,4,-2.7631595003185794e-05
1.3000000000000003,5,-2.7631595003185794e-05
1.3000000000000003,6,-2.7631595003185794e-05
